stock_name,final_score,sentiment_score,technical_score,frequency_score,bert_score,news_count,date_range,avg_freshness,rating
트레이드 데스크,55.01515892899999,48.95222803601883,50.77661702600578,80.27589195435505,41.46104215919715,43,2024-10-23 ~ 2025-07-28,0.3763593776141877,😐 약간 호재
레비티,54.94516316068887,80.06813709156138,49.284995977473855,19.77743271221532,41.76922988379099,12,2024-04-25 ~ 2025-05-13,0.540905134899913,😐 약간 호재
나이키,54.925032335870064,54.327473417270575,68.51015228426397,42.41987577639752,41.57022128403143,25,2025-07-15 ~ 2025-07-29,0.5628571428571428,😐 약간 호재
시스템즈,54.83937625236257,62.19471543356971,47.646551724137936,58.70967741935484,39.25589077822338,31,2025-07-23 ~ 2025-07-30,0.8018433179723504,😐 약간 호재
타겟,54.65530427656734,61.62764067754305,48.5,56.472049689440986,41.59838067661924,35,2025-07-27 ~ 2025-07-30,0.2761904761904762,😐 약간 호재
노던 트러스트,54.63258671616727,44.07555235186057,56.55536140470507,79.10973084886128,42.138111842392654,42,2024-01-18 ~ 2025-05-22,0.5700680272108843,😐 약간 호재
펩시코,54.58115076074595,61.79539559499946,51.70677731673584,50.96166202612979,41.586269224994595,29,2025-06-14 ~ 2025-07-29,0.5540229885057472,😐 약간 호재
유니온 퍼시픽,54.561131093318004,67.41014372267455,51.31242122951967,40.41987577639752,41.19372080112775,25,2024-01-01 ~ 2025-07-28,0.497630662020906,😐 약간 호재
베리사인,54.44091234795207,61.48020763113748,54.72347198641766,46.82373099164703,40.670415012423696,29,2024-01-23 ~ 2025-07-25,0.5919226179260096,😐 약간 호재
트루이스트 파이낸셜,54.35810003911998,52.4226438172493,57.112945922097566,60.15010351966873,42.25138031657248,36,2024-01-04 ~ 2025-06-27,0.40807613168724277,😐 약간 호재
에머슨 일렉트릭,54.264155846494255,72.82756684636855,58.03741886216113,17.664596273291927,41.88984194640105,10,2024-01-17 ~ 2025-04-14,0.5781456953642384,😐 약간 호재
허쉬,54.23548886893632,55.72073061494625,49.85445307830247,64.7053886184321,40.49782975780663,37,2025-03-25 ~ 2025-07-30,0.35603319855288357,😐 약간 호재
알파벳 A주,54.19275832080842,59.03542096757466,52.30953278070837,53.54838709677419,41.76052680211208,31,2024-01-14 ~ 2025-07-28,0.45782301190270824,😐 약간 호재
가민,54.18320080312348,55.93399486130202,55.428379988088146,55.76909024479357,40.272708132175175,34,2025-01-18 ~ 2025-07-27,0.519814241486068,😐 약간 호재
뱅크 오브 아메리카,54.151709696040484,51.48955268941302,52.63793103448276,67.89637136319058,41.85235037292333,38,2025-07-21 ~ 2025-07-28,0.32706766917293234,😐 약간 호재
휴렛 팩커드 엔터프라이즈,54.02771807849888,56.660802336201854,49.5093665768194,61.8167701863354,41.47233133705234,36,2024-06-18 ~ 2025-06-22,0.5585666967780789,😐 약간 호재
킨더 모건,54.02310483767374,56.960192660031524,62.619528237695626,41.31281761716544,41.90605778919363,22,2024-03-31 ~ 2025-02-16,0.6223884810841332,😐 약간 호재
파이서브,53.98647191750063,54.51735220288212,51.551804022082024,62.92788129744651,41.2841357023387,36,2024-01-28 ~ 2025-07-20,0.5227788084930942,😐 약간 호재
다비타,53.971290926040886,75.26528012013756,61.36893203883495,5.105590062111801,44.33381253913019,5,2024-05-01 ~ 2025-02-08,0.2183745583038869,😐 약간 호재
키사이트 테크놀로지스,53.96358359977073,75.44740115820406,50.18527430221366,23.110766045548655,41.06887636715269,12,2024-02-19 ~ 2025-06-08,0.5468421052631579,😐 약간 호재
헨리 샤인,53.9440205709178,79.21193371422264,52.341674687199244,11.498447204968944,42.57055238075184,8,2024-01-22 ~ 2025-03-23,0.3048708920187793,😐 약간 호재
프로퍼티,53.942557958379375,59.26002982367916,51.43586698337292,53.3785055524186,41.32084823412116,33,2025-03-17 ~ 2025-07-30,0.47250280583613913,😐 약간 호재
옥시덴탈 페트롤리움,53.8924770967987,55.25679898674372,49.3640089418778,64.16484807789155,41.475852039595665,37,2024-01-11 ~ 2025-05-31,0.28672150411280845,😐 약간 호재
코노코필립스,53.72708898969395,49.640583504978146,46.67971530249109,78.41542683807597,41.83855629340167,43,2025-01-07 ~ 2025-07-27,0.3901423116973274,😐 약간 호재
에스티 로더,53.72259086427264,61.27420310922225,64.23584905660377,28.08695652173913,43.247635992547806,15,2025-07-09 ~ 2025-07-30,0.16825396825396824,😐 약간 호재
